id,S,1,S1,2,S2,12,S12,3,S3,13,S13,23,S23,123,S123,4,S4,14,S14,24,S24,124,S124,34,S34,134,S134,234,S234,1234,S1234,5,S5,15,S15,25,S25,125,S125,35,S35,135,S135,235,S235,1235,S1235,45,S45,145,S145,245,S245,1245,S1245,345,S345,1345,S1345,2345,S2345,12345,S12345,6,S6,16,S16,26,S26,126,S126,36,S36,136,S136,236,S236,1236,S1236,46,S46,146,S146,246,S246,1246,S1246,346,S346,1346,S1346,2346,S2346,12346,S12346,56,S56,156,S156,256,S256,1256,S1256,356,S356,1356,S1356,2356,S2356,12356,S12356,456,S456,1456,S1456,2456,S2456,12456,S12456,3456,S3456,13456,S13456,23456,S23456,123456,S123456,7,S7,17,S17,27,S27,127,S127,37,S37,137,S137,237,S237,1237,S1237,47,S47,147,S147,247,S247,1247,S1247,347,S347,1347,S1347,2347,S2347,12347,S12347,57,S57,157,S157,257,S257,1257,S1257,357,S357,1357,S1357,2357,S2357,12357,S12357,457,S457,1457,S1457,2457,S2457,12457,S12457,3457,S3457,13457,S13457,23457,S23457,123457,S123457,67,S67,167,S167,267,S267,1267,S1267,367,S367,1367,S1367,2367,S2367,12367,S12367,467,S467,1467,S1467,2467,S2467,12467,S12467,3467,S3467,13467,S13467,23467,S23467,123467,S123467,567,S567,1567,S1567,2567,S2567,12567,S12567,3567,S3567,13567,S13567,23567,S23567,123567,S123567,4567,S4567,14567,S14567,24567,S24567,124567,S124567,34567,S34567,134567,S134567,234567,S234567,1234567,S1234567
10,17,47,1,37,0,0,0,50,6,0,0,0,0,0,0,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101,10,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,21,1,33,0,1,0,112,1,14,0,2,1,0,0,74,2,4,0,8,1,1,0,3,0,0,0,0,0,0,0,93,1,30,1,14,4,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,3,17,0,16,4,0,0,2,3,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,31,6,13,0,1,0,9,0,5,0,0,0,0,0,6,1,9,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,73,2,82,3,1,0,79,2,2,0,0,1,0,0,56,0,7,0,3,0,1,0,3,0,0,0,0,0,0,0,122,3,12,1,2,2,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,6,0,0,2,0,0,2,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4,21,2,4,0,1,0,6,0,5,0,0,0,0,0,5,0,9,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,45,3,37,1,0,0,43,0,2,0,0,0,0,0,42,2,2,0,4,0,0,0,4,0,0,0,0,0,0,0,69,3,17,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,5,2,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,39,2,7,0,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,130,60,13,41,3,0,0,35,20,19,0,2,0,0,0,59,22,10,1,27,0,0,0,0,0,6,0,0,0,0,0,43,9,23,5,5,3,0,0,14,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,8,11,0,3,0,0,0,18,0,1,5,0,0,0,0,19,0,4,9,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,16,9,2,10,1,0,0,23,2,2,6,0,0,0,0,6,0,2,4,4,3,0,0,1,0,0,0,0,0,0,0,10,1,4,8,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,112,34,8,43,0,0,0,39,2,9,4,0,0,0,0,70,5,7,0,25,0,0,0,0,0,0,0,0,0,0,0,34,1,22,6,0,0,0,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,18,3,0,0,0,0,19,2,1,2,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,18,1,38,0,1,0,40,0,5,0,1,0,0,0,35,0,5,0,15,0,1,0,3,0,2,2,0,0,0,0,32,0,7,0,18,0,6,0,13,0,12,0,7,0,2,0,3,0,2,0,6,0,2,0,3,1,4,0,2,0,2,0,20,1,3,0,9,0,5,0,14,1,11,2,4,0,0,0,12,0,2,2,20,1,7,0,4,0,5,1,2,0,1,0,5,0,1,0,1,0,2,0,1,0,5,0,3,0,3,0,1,0,0,0,1,0,3,0,2,0,5,0,1,0,2,0,13,2,5,2,6,1,2,0,9,0,5,1,3,0,0,0,4,0,8,1,9,0,4,1,3,1,1,1,1,0,2,0,5,0,4,2,6,1,3,2,12,0,16,4,5,0,4,0,1,1,2,0,6,1,4,0,2,0,7,1,1,0,2,0,1,0,1,0,4,0,1,0,2,0,3,0,3,0,2,0,0,0,6,0,8,0,5,1,5,0,6,1,2,0,1,0,0,0,1,0,1,0,1,0,4,0,5,1,2,0,3,0,0,0,0,0,3,0,3,0,1,0,3,0,1,0,3,1
17,6,47,3,78,0,0,0,37,0,3,1,0,0,0,0,32,1,2,1,15,0,0,0,0,0,0,0,0,0,0,0,19,0,11,4,2,1,0,0,34,2,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,25,0,0,0,4,0,1,0,1,0,0,0,45,3,17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,1,8,0,0,0,15,0,7,0,4,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,23,0,18,1,17,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,49,0,34,1,0,0,33,1,6,0,0,0,0,0,42,2,7,0,13,0,0,0,0,0,0,0,0,0,0,0,28,1,16,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,8,0,33,1,0,0,10,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,27,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,28,0,33,0,0,0,34,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
